File      ,14-00-46.CSV,,,,,,,,,
Site Name      ,HUTHL-A,,,,,,,,,
Start,12/03/2024 14:00,,,,,,,,,
Stop,13/03/2024 09:31,,,,,,,,,
Pipe Material,Cast Iron,,,,,,,,,
Pipe O.D.     ,173,mm,,,,,,,,
Wall Thickness     ,8.5,mm,,,,,,,,
Pipe Liner,None,,,,,,,,,
Liner Thickness     ,0,mm,,,,,,,,
Fluid      ,Water,,,,,,,,,
Averaging,30,s,,,,,,,,
Interval,60,s,,,,,,,,
Records,1172,,,,,,,,,
FlowMin,0,,,,,,,,,
FlowMax,12.161,,,,,,,,,
AmplitudeMin,0,,,,,,,,,
AmplitudeMax,0.03,,,,,,,,,
Sound SpeedMin,0,,,,,,,,,
Sound SpeedMax,1444.522,,,,,,,,,
Errors,46,,,,,,,,,
Last Error,1,,,,,,,,,
                                                                                                      ,V01,5,100,2,6,8,9,21/07/2023 12:54,0,0
Date[Day/Month/Year] Time[Hour:Min:Secs],Flow[l/s],Sound Speed[m/s],+ve Totaliser[l],-ve Totaliser[l],,,,,,
28/11/2023 18:15:00,185.30,1442.4,36185.5,0,,,,,,
28/11/2023 18:16:00,184.31,1442.39,36185.5,0,,,,,,
28/11/2023 18:17:00,184.22,1442.39,36185.5,0,,,,,,
28/11/2023 18:18:00,177.30,1442.37,36185.5,0,,,,,,
28/11/2023 18:19:00,184.74,1442.35,36185.5,0,,,,,,
28/11/2023 18:20:00,182.78,1442.34,36185.5,0,,,,,,
28/11/2023 18:21:00,186.57,1442.33,36185.5,0,,,,,,
28/11/2023 18:22:00,181.28,1442.33,36185.5,0,,,,,,
28/11/2023 18:23:00,184.24,1442.34,36185.5,0,,,,,,
28/11/2023 18:24:00,182.63,1442.32,36185.5,0,,,,,,
28/11/2023 18:25:00,186.59,1442.31,36185.5,0,,,,,,
28/11/2023 18:26:00,187.43,1442.32,36185.5,0,,,,,,
28/11/2023 18:27:00,183.36,1442.29,36185.5,0,,,,,,
28/11/2023 18:28:00,184.32,1442.28,36185.5,0,,,,,,
28/11/2023 18:29:00,183.64,1442.27,36185.5,0,,,,,,
28/11/2023 18:30:00,182.20,1442.26,36185.5,0,,,,,,
28/11/2023 18:31:00,186.04,1442.27,36185.5,0,,,,,,
28/11/2023 18:32:00,186.08,1442.25,36185.5,0,,,,,,
28/11/2023 18:33:00,187.19,1442.25,36185.5,0,,,,,,
28/11/2023 18:34:00,184.92,1442.23,36185.5,0,,,,,,
28/11/2023 18:35:00,186.74,1442.24,36185.5,0,,,,,,
28/11/2023 18:36:00,182.57,1442.23,36185.5,0,,,,,,
28/11/2023 18:37:00,186.05,1442.23,36185.5,0,,,,,,
28/11/2023 18:38:00,184.41,1442.23,36185.5,0,,,,,,
28/11/2023 18:39:00,184.02,1442.19,36185.5,0,,,,,,
28/11/2023 18:40:00,185.28,1442.18,36185.5,0,,,,,,
28/11/2023 18:41:00,180.83,1442.19,36185.5,0,,,,,,
28/11/2023 18:42:00,186.45,1442.18,36185.5,0,,,,,,
28/11/2023 18:43:00,180.90,1442.17,36185.5,0,,,,,,
28/11/2023 18:44:00,185.69,1442.16,36185.5,0,,,,,,
28/11/2023 18:45:00,183.86,1442.15,36185.5,0,,,,,,
28/11/2023 18:46:00,184.08,1442.15,36185.5,0,,,,,,
28/11/2023 18:47:00,183.75,1442.14,36185.5,0,,,,,,
28/11/2023 18:48:00,183.09,1442.14,36185.5,0,,,,,,
28/11/2023 18:49:00,185.42,1442.13,36185.5,0,,,,,,
28/11/2023 18:50:00,181.89,1442.13,36185.5,0,,,,,,
28/11/2023 18:51:00,187.95,1442.12,36185.5,0,,,,,,
28/11/2023 18:52:00,185.75,1442.13,36185.5,0,,,,,,
28/11/2023 18:53:00,185.22,1442.11,36185.5,0,,,,,,
28/11/2023 18:54:00,185.13,1442.1,36185.5,0,,,,,,
28/11/2023 18:55:00,183.19,1442.09,36185.5,0,,,,,,
28/11/2023 18:56:00,182.67,1442.06,36185.5,0,,,,,,
28/11/2023 18:57:00,183.71,1442.05,36185.5,0,,,,,,
28/11/2023 18:58:00,182.48,1442.04,36185.5,0,,,,,,
28/11/2023 18:59:00,179.68,1442.02,36185.5,0,,,,,,
28/11/2023 19:00:00,183.76,1442,36185.5,0,,,,,,
28/11/2023 19:01:00,172.61,1441.99,36185.5,0,,,,,,
28/11/2023 19:02:00,175.82,1442.03,36185.5,0,,,,,,
28/11/2023 19:03:00,173.46,1442.02,36185.5,0,,,,,,
28/11/2023 19:04:00,175.44,1442.01,36185.5,0,,,,,,
28/11/2023 19:05:00,172.82,1441.99,36185.5,0,,,,,,
28/11/2023 19:06:00,171.88,1442,36185.5,0,,,,,,
28/11/2023 19:07:00,176.15,1441.99,36185.5,0,,,,,,
28/11/2023 19:08:00,171.37,1441.98,36185.5,0,,,,,,
28/11/2023 19:09:00,175.35,1441.99,36185.5,0,,,,,,
28/11/2023 19:10:00,175.96,1441.97,36185.5,0,,,,,,
28/11/2023 19:11:00,173.49,1441.95,36185.5,0,,,,,,
28/11/2023 19:12:00,173.09,1441.95,36185.5,0,,,,,,
28/11/2023 19:13:00,176.25,1441.94,36185.5,0,,,,,,
28/11/2023 19:14:00,170.60,1441.96,36185.5,0,,,,,,
28/11/2023 19:15:00,171.92,1441.94,36185.5,0,,,,,,
28/11/2023 19:16:00,175.74,1441.95,36185.5,0,,,,,,
28/11/2023 19:17:00,173.84,1441.94,36185.5,0,,,,,,
28/11/2023 19:18:00,175.94,1441.93,36185.5,0,,,,,,
28/11/2023 19:19:00,177.14,1441.93,36185.5,0,,,,,,
28/11/2023 19:20:00,176.16,1441.9,36185.5,0,,,,,,
28/11/2023 19:21:00,173.50,1441.92,36185.5,0,,,,,,
28/11/2023 19:22:00,172.89,1441.9,36185.5,0,,,,,,
28/11/2023 19:23:00,173.89,1441.88,36185.5,0,,,,,,
28/11/2023 19:24:00,173.84,1441.89,36185.5,0,,,,,,
28/11/2023 19:25:00,175.19,1441.91,36185.5,0,,,,,,
28/11/2023 19:26:00,176.00,1441.9,36185.5,0,,,,,,
28/11/2023 19:27:00,175.68,1441.85,36185.5,0,,,,,,
28/11/2023 19:28:00,172.92,1441.87,36185.5,0,,,,,,
28/11/2023 19:29:00,172.90,1441.85,36185.5,0,,,,,,
28/11/2023 19:30:00,176.92,1441.85,36185.5,0,,,,,,
28/11/2023 19:31:00,176.24,1441.84,36185.5,0,,,,,,
28/11/2023 19:32:00,177.19,1441.83,36185.5,0,,,,,,
28/11/2023 19:33:00,173.86,1441.83,36185.5,0,,,,,,
28/11/2023 19:34:00,177.19,1441.82,36185.5,0,,,,,,
28/11/2023 19:35:00,174.22,1441.82,36185.5,0,,,,,,
28/11/2023 19:36:00,175.16,1441.81,36185.5,0,,,,,,
28/11/2023 19:37:00,172.74,1441.81,36185.5,0,,,,,,
28/11/2023 19:38:00,169.58,1441.81,36185.5,0,,,,,,
28/11/2023 19:39:00,174.96,1441.81,36185.5,0,,,,,,
28/11/2023 19:40:00,176.32,1441.79,36185.5,0,,,,,,
28/11/2023 19:41:00,172.42,1441.8,36185.5,0,,,,,,
28/11/2023 19:42:00,175.93,1441.76,36185.5,0,,,,,,
28/11/2023 19:43:00,173.84,1441.78,36185.5,0,,,,,,
28/11/2023 19:44:00,173.98,1441.78,36185.5,0,,,,,,
28/11/2023 19:45:00,174.14,1441.77,36185.5,0,,,,,,
28/11/2023 19:46:00,175.77,1441.74,36185.5,0,,,,,,
28/11/2023 19:47:00,171.50,1441.74,36185.5,0,,,,,,
28/11/2023 19:48:00,174.57,1441.74,36185.5,0,,,,,,
28/11/2023 19:49:00,177.82,1441.74,36185.5,0,,,,,,
28/11/2023 19:50:00,174.21,1441.75,36185.5,0,,,,,,
28/11/2023 19:51:00,174.04,1441.73,36185.5,0,,,,,,
28/11/2023 19:52:00,174.40,1441.75,36185.5,0,,,,,,
28/11/2023 19:53:00,176.08,1441.73,36185.5,0,,,,,,
28/11/2023 19:54:00,172.91,1441.74,36185.5,0,,,,,,
28/11/2023 19:55:00,172.12,1441.72,36185.5,0,,,,,,
28/11/2023 19:56:00,173.20,1441.72,36185.5,0,,,,,,
28/11/2023 19:57:00,175.10,1441.72,36185.5,0,,,,,,
28/11/2023 19:58:00,173.69,1441.7,36185.5,0,,,,,,
28/11/2023 19:59:00,177.35,1441.68,36185.5,0,,,,,,
28/11/2023 20:00:00,176.89,1441.69,36185.5,0,,,,,,
28/11/2023 20:01:00,179.98,1441.68,36185.5,0,,,,,,
28/11/2023 20:02:00,176.15,1441.66,36185.5,0,,,,,,
28/11/2023 20:03:00,176.69,1441.68,36185.5,0,,,,,,
28/11/2023 20:04:00,174.31,1441.67,36185.5,0,,,,,,
28/11/2023 20:05:00,176.91,1441.66,36185.5,0,,,,,,
28/11/2023 20:06:00,174.57,1441.66,36185.5,0,,,,,,
28/11/2023 20:07:00,176.91,1441.65,36185.5,0,,,,,,
28/11/2023 20:08:00,175.27,1443.82,36509.4,0,,,,,,
28/11/2023 20:09:00,176.73,1443.73,37009.4,0,,,,,,
28/11/2023 20:10:00,174.82,1443.69,37505.8,0,,,,,,
28/11/2023 20:11:00,178.85,1443.67,38003.6,0,,,,,,
28/11/2023 20:12:00,177.09,1443.67,38503.7,0,,,,,,
28/11/2023 20:13:00,175.83,1443.66,38995.9,0,,,,,,
28/11/2023 20:14:00,176.01,1443.66,39493.1,0,,,,,,
28/11/2023 20:15:00,172.55,1443.64,39992.8,0,,,,,,
28/11/2023 20:16:00,177.49,1443.65,40491.7,0,,,,,,
28/11/2023 20:17:00,178.90,1443.64,40992.3,0,,,,,,
28/11/2023 20:18:00,174.30,1443.64,41486.6,0,,,,,,
28/11/2023 20:19:00,178.29,1443.64,41984.2,0,,,,,,
28/11/2023 20:20:00,177.52,1443.64,42481.8,0,,,,,,
28/11/2023 20:21:00,178.99,1443.64,42975.3,0,,,,,,
28/11/2023 20:22:00,177.54,1443.64,43460.9,0,,,,,,
